answer_id	annotator	mentioned_factors	missing_required_factors	diagnostic_tags	M1	M2	M3	M4	M5	comment
A001	예시	FINANCIAL_CONTAGION;FOREIGN_INVESTOR_FLOW;MARKET_VOLATILITY;DOMESTIC_DIRECT_EXPOSURE;POLICY_SAFETY_NET;FINANCIAL_SOUNDNESS;CONCENTRATION_RISK	LIQUIDITY_RISK	missing_position_size	5	5	5	5	5	위험 요인과 완화 요인을 균형 있게 고려했으며, 전량 매도가 아니라 일부 비중 축소를 선택해 행동 강도도 적절함. 다만 유동성 위험 표현은 직접적으로 약함.
A002	예시	FINANCIAL_CONTAGION;MARKET_VOLATILITY	DOMESTIC_DIRECT_EXPOSURE;POLICY_SAFETY_NET;LIQUIDITY_RISK;FINANCIAL_SOUNDNESS	missing_required_factor;ignored_mitigating_factor	3	3	2	3	4	금융 불안과 변동성은 봤지만 국내 직접 노출도와 정책 대응, 재무 건전성 등 완화 요인을 고려하지 않아 판단이 단순함.
A003	예시	FINANCIAL_CONTAGION	DOMESTIC_DIRECT_EXPOSURE;POLICY_SAFETY_NET;LIQUIDITY_RISK;FINANCIAL_SOUNDNESS	missing_required_factor;unsupported_claim;excessive_action;conclusion_jump	1	2	1	1	2	공포심에 기반한 전량 매도 판단이며, 국내 노출도나 정책 대응, 재무 건전성 확인 없이 결론을 내림.
A004	김홍경	CONCENTRATION_RISK;DOMESTIC_DIRECT_EXPOSURE;FINANCIAL_CONTAGION;LIQUIDITY_RISK;POLICY_SAFETY_NET	FINANCIAL_SOUNDNESS	missing_required_factor	5	5	5	5	5	30% 비중 부담, 국내 직접 위험 제한, 금융 불안 전염, 유동성 부담, 정부 대응을 함께 봄. 재무 건전성만 직접 언급되지 않았지만 우수 답변으로 볼 수 있음.
A005	김홍경	DOMESTIC_DIRECT_EXPOSURE;POLICY_SAFETY_NET;FINANCIAL_SOUNDNESS;FINANCIAL_CONTAGION	LIQUIDITY_RISK	missing_required_factor;no_counter_scenario	4	5	4	4	4	국내 직접 위험이 제한적이고 정책 대응·은행 상태를 본 점은 좋음. 다만 유동성 위험과 30% 비중 부담이 빠져 우수 중에서는 약한 편.
A006	김홍경	FINANCIAL_CONTAGION	DOMESTIC_DIRECT_EXPOSURE;POLICY_SAFETY_NET;LIQUIDITY_RISK;FINANCIAL_SOUNDNESS	missing_required_factor;ignored_mitigating_factor;cause_effect_gap;missing_position_size	2	3	2	3	3	위험 뉴스 때문에 관망한다는 방향은 자연스럽지만, 구체 요인 식별이 약하고 완화 요인을 거의 고려하지 않음.
A007	김홍경	MARKET_VOLATILITY;RISK_APPETITE;SECTOR_RELATIVE_STRENGTH	DOMESTIC_DIRECT_EXPOSURE;POLICY_SAFETY_NET;LIQUIDITY_RISK;FINANCIAL_SOUNDNESS	missing_required_factor;ignored_mitigating_factor;excessive_action;cause_effect_gap	2	3	2	2	3	업종 분위기와 추가 하락 가능성은 봤지만 근거가 표면적임. 매도 행동의 강도 조절이 부족함.
A008	김홍경	MARKET_VOLATILITY	FINANCIAL_CONTAGION;DOMESTIC_DIRECT_EXPOSURE;POLICY_SAFETY_NET;LIQUIDITY_RISK;FINANCIAL_SOUNDNESS	missing_required_factor;unsupported_claim;ignored_uncertainty;action_mismatch;conclusion_jump	1	2	1	1	2	가격 하락을 곧바로 할인으로 해석했지만 금융 불안, 유동성, 정책, 국내 노출도 등을 전혀 보지 않음. 위험 상황에서 매수 근거가 부족함.
A009	김홍경	MARKET_VOLATILITY;RISK_APPETITE	FINANCIAL_CONTAGION;DOMESTIC_DIRECT_EXPOSURE;POLICY_SAFETY_NET;LIQUIDITY_RISK;FINANCIAL_SOUNDNESS	missing_required_factor;unsupported_claim;ignored_mitigating_factor;excessive_action;conclusion_jump	1	2	1	1	2	금융주 하락과 공포심에 근거해 전량 매도한 판단임. 국내 직접 노출 제한, 정책 대응, 재무 건전성 등 완화 요인을 무시했고, 근거에 비해 행동이 과도함.
A010	보완라벨	FINANCIAL_CONTAGION;MARKET_VOLATILITY;FINANCIAL_SOUNDNESS;POLICY_SAFETY_NET	DOMESTIC_DIRECT_EXPOSURE;LIQUIDITY_RISK	missing_required_factor;missing_position_size	4	5	4	4	5	금융 불안, 단기 하락, 자본 상태, 정부 유동성 공급을 함께 고려해 관망을 선택함. 다만 국내 직접 노출도와 유동성 위험 자체는 명확히 분리해 언급하지 않음.
